mpi Ranks	150	140	125	110	105	100	90	75	60	30
ns/day		188.969	183.211	179.736	156.802	152.068	161.474	124.399	134.893	115.156	61.71
		189.34	183.129	184.327	160.863	152.543	160.863	134.496	136.495	114.613	62.307
		174.381	188.024	184.225	164.867	152.316	160.018	137.888	128.048	115.583	63.19
omp_thread = 4	193.658	179.163	178.293	165.139	153.831	160.846	138.504	136.495	117.837	63.096
HB120		187.646	182.195	178.897	163.506	150.751	160.62	137.381	133.73	118.634	60.772
